Entity Name,Branch Region,Branch,Division,Due Date,Top Level Customer ID,Top Level Customer Name,Customer ID,Customer,Billing Group ID,Billing Group,Invoice ID,Invoice #,Issue Date,Total,Outstanding,Delivery,Status,FY
Connect Resources (NSW) Pty Ltd,,,,8.9.2022,90,Attcall Group Pty Ltd,90,Attcall Group Pty Ltd,,,16364,INV0006,2022-08-25,623.5,623.5,Email/PDF,Sent,22/23
Connect Resources (NSW) Pty Ltd,,,,8.9.2022,93,Devcon Civil,93,Devcon Civil,,,16363,INV0005,2022-08-25,976.6,976.6,Email/PDF,Sent,22/23
Connect Resources (NSW) Pty Ltd,,,,8.9.2022,90,Attcall Group Pty Ltd,90,Attcall Group Pty Ltd,,,16362,INV0004,2022-08-25,1637.52,1637.52,Email/PDF,Sent,22/23
Connect Resources (NSW) Pty Ltd,,,,8.9.2022,90,Attcall Group Pty Ltd,90,Attcall Group Pty Ltd,,,16361,INV0003,2022-08-25,1754.81,1754.81,Email/PDF,Sent,22/23
Connect Resources (NSW) Pty Ltd,,,,8.9.2022,90,Attcall Group Pty Ltd,90,Attcall Group Pty Ltd,,,16360,INV0002,2022-08-25,2292.38,2292.38,Email/PDF,Sent,22/23
Connect Resources (NSW) Pty Ltd,,,,8.9.2022,95,DEA,95,DEA,,,16371,INV0013,2022-08-25,844.8,844.8,Email/PDF,Sent,22/23
Connect Resources (NSW) Pty Ltd,,,,14.9.2022,96,Green Civil Con Pty ltd,96,Green Civil Con Pty ltd,,,16535,INV0031,2022-08-31,3815.79,3815.79,Email/PDF,Sent,22/23
Connect Resources (NSW) Pty Ltd,,,,14.9.2022,96,Green Civil Con Pty ltd,96,Green Civil Con Pty ltd,,,16534,INV0030,2022-08-31,6424.01,6424.01,Email/PDF,Sent,22/23
Connect Resources (NSW) Pty Ltd,,,,14.9.2022,96,Green Civil Con Pty ltd,96,Green Civil Con Pty ltd,,,16533,INV0029,2022-08-31,4965.53,4965.53,Email/PDF,Sent,22/23
Connect Resources (NSW) Pty Ltd,,,,14.9.2022,90,Attcall Group Pty Ltd,90,Attcall Group Pty Ltd,,,16529,INV0025,2022-08-31,2645.12,2645.12,Email/PDF,Sent,22/23
Connect Resources (NSW) Pty Ltd,,,,14.9.2022,90,Attcall Group Pty Ltd,90,Attcall Group Pty Ltd,,,16531,INV0027,2022-08-31,3819.92,3819.92,Email/PDF,Sent,22/23
Connect Resources (NSW) Pty Ltd,,,,14.9.2022,90,Attcall Group Pty Ltd,90,Attcall Group Pty Ltd,,,16530,INV0026,2022-08-31,3454.92,3454.92,Email/PDF,Sent,22/23
Connect Resources (NSW) Pty Ltd,,,,14.9.2022,93,Devcon Civil,93,Devcon Civil,,,16532,INV0028,2022-08-31,479.56,479.56,Email/PDF,Sent,22/23
Connect Resources (NSW) Pty Ltd,,,,7.10.2022,98,Delivering for Customers (D4C),98,Delivering for Customers (D4C),,,16629,INV0039,2022-09-07,1269.38,1269.38,Email/PDF,Viewed,22/23
Connect Resources (NSW) Pty Ltd,,,,7.10.2022,98,Delivering for Customers (D4C),98,Delivering for Customers (D4C),,,16633,INV0043,2022-09-07,3391.93,3391.93,Email/PDF,Sent,22/23
Connect Resources (NSW) Pty Ltd,,,,7.10.2022,98,Delivering for Customers (D4C),98,Delivering for Customers (D4C),,,16632,INV0042,2022-09-07,9463.47,9463.47,Email/PDF,Sent,22/23
Connect Resources (NSW) Pty Ltd,,,,7.10.2022,98,Delivering for Customers (D4C),98,Delivering for Customers (D4C),,,16631,INV0041,2022-09-07,3581.72,3581.72,Email/PDF,Sent,22/23
Connect Resources (NSW) Pty Ltd,,,,7.10.2022,98,Delivering for Customers (D4C),98,Delivering for Customers (D4C),,,16630,INV0040,2022-09-07,3288.57,3288.57,Email/PDF,Sent,22/23
Connect Resources (NSW) Pty Ltd,,,,7.10.2022,98,Delivering for Customers (D4C),98,Delivering for Customers (D4C),,,16628,INV0038,2022-09-07,1269.38,1269.38,Email/PDF,Sent,22/23
Connect Resources (NSW) Pty Ltd,,,,23.9.2022,90,Attcall Group Pty Ltd,90,Attcall Group Pty Ltd,,,16625,INV0035,2022-09-09,5411.19,5411.19,Email/PDF,Sent,22/23
Connect Resources (NSW) Pty Ltd,,,,23.9.2022,96,Green Civil Con Pty ltd,96,Green Civil Con Pty ltd,,,16626,INV0036,2022-09-09,1031.58,1031.58,Email/PDF,Sent,22/23
Connect Resources (NSW) Pty Ltd,,,,23.9.2022,96,Green Civil Con Pty ltd,96,Green Civil Con Pty ltd,,,16627,INV0037,2022-09-09,1862.88,1862.88,Email/PDF,Sent,22/23
Connect Resources (NSW) Pty Ltd,,,,23.9.2022,90,Attcall Group Pty Ltd,90,Attcall Group Pty Ltd,,,16624,INV0034,2022-09-09,5052.54,5052.54,Email/PDF,Sent,22/23
Connect Resources (NSW) Pty Ltd,,,,23.9.2022,90,Attcall Group Pty Ltd,90,Attcall Group Pty Ltd,,,16623,INV0033,2022-09-09,865.95,865.95,Email/PDF,Sent,22/23
Connect Resources (NSW) Pty Ltd,,,,23.9.2022,90,Attcall Group Pty Ltd,90,Attcall Group Pty Ltd,,,16622,INV0032,2022-09-09,2045.77,2045.77,Email/PDF,Sent,22/23
Connect Resources (NSW) Pty Ltd,,,,12.10.2022,98,Delivering for Customers (D4C),98,Delivering for Customers (D4C),,,16643,INV0053,2022-09-12,3325.2,3325.2,Email/PDF,Sent,22/23
Connect Resources (NSW) Pty Ltd,,,,12.10.2022,98,Delivering for Customers (D4C),98,Delivering for Customers (D4C),,,16642,INV0052,2022-09-12,11815.57,11815.57,Email/PDF,Sent,22/23
Connect Resources (NSW) Pty Ltd,,,,12.10.2022,98,Delivering for Customers (D4C),98,Delivering for Customers (D4C),,,16641,INV0051,2022-09-12,11314.29,11314.29,Email/PDF,Sent,22/23
Connect Resources (NSW) Pty Ltd,,,,12.10.2022,98,Delivering for Customers (D4C),98,Delivering for Customers (D4C),,,16640,INV0050,2022-09-12,3251.39,3251.39,Email/PDF,Sent,22/23
Connect Resources (NSW) Pty Ltd,,,,12.10.2022,98,Delivering for Customers (D4C),98,Delivering for Customers (D4C),,,16639,INV0049,2022-09-12,2575.32,2575.32,Email/PDF,Sent,22/23
Connect Resources (NSW) Pty Ltd,,,,12.10.2022,98,Delivering for Customers (D4C),98,Delivering for Customers (D4C),,,16638,INV0048,2022-09-12,3587.75,3587.75,Email/PDF,Sent,22/23
Connect Resources (NSW) Pty Ltd,,,,29.9.2022,90,Attcall Group Pty Ltd,90,Attcall Group Pty Ltd,,,16637,INV0047,2022-09-15,5368.52,5368.52,Email/PDF,Sent,22/23
Connect Resources (NSW) Pty Ltd,,,,29.9.2022,90,Attcall Group Pty Ltd,90,Attcall Group Pty Ltd,,,16636,INV0046,2022-09-15,2376.63,2376.63,Email/PDF,Sent,22/23
Connect Resources (NSW) Pty Ltd,,,,29.9.2022,90,Attcall Group Pty Ltd,90,Attcall Group Pty Ltd,,,16635,INV0045,2022-09-15,1839.83,1839.83,Email/PDF,Sent,22/23
Connect Resources (NSW) Pty Ltd,,,,20.10.2022,98,Delivering for Customers (D4C),98,Delivering for Customers (D4C),,,16835,INV0064,2022-09-20,5366.49,5366.49,Email/PDF,Sent,22/23
Connect Resources (NSW) Pty Ltd,,,,20.10.2022,98,Delivering for Customers (D4C),98,Delivering for Customers (D4C),,,16836,INV0065,2022-09-20,17210.63,17210.63,Email/PDF,Sent,22/23
Connect Resources (NSW) Pty Ltd,,,,20.10.2022,98,Delivering for Customers (D4C),98,Delivering for Customers (D4C),,,16834,INV0063,2022-09-20,2573.82,2573.82,Email/PDF,Sent,22/23
Connect Resources (NSW) Pty Ltd,,,,20.10.2022,98,Delivering for Customers (D4C),98,Delivering for Customers (D4C),,,16833,INV0062,2022-09-20,351.19,351.19,Email/PDF,Sent,22/23
Connect Resources (NSW) Pty Ltd,,,,20.10.2022,98,Delivering for Customers (D4C),98,Delivering for Customers (D4C),,,16832,INV0061,2022-09-20,6707.42,6707.42,Email/PDF,Sent,22/23
Connect Resources (NSW) Pty Ltd,,,,4.10.2022,90,Attcall Group Pty Ltd,90,Attcall Group Pty Ltd,,,16827,INV0056,2022-09-20,1721.05,1721.05,Email/PDF,Sent,22/23
Connect Resources (NSW) Pty Ltd,,,,20.10.2022,98,Delivering for Customers (D4C),98,Delivering for Customers (D4C),,,16830,INV0059,2022-09-20,5590.93,5590.93,Email/PDF,Viewed,22/23
Connect Resources (NSW) Pty Ltd,,,,4.10.2022,90,Attcall Group Pty Ltd,90,Attcall Group Pty Ltd,,,16829,INV0058,2022-09-20,5151.78,5151.78,Email/PDF,Sent,22/23
Connect Resources (NSW) Pty Ltd,,,,4.10.2022,90,Attcall Group Pty Ltd,90,Attcall Group Pty Ltd,,,16828,INV0057,2022-09-20,2172.7,2172.7,Email/PDF,Sent,22/23
Connect Resources (NSW) Pty Ltd,,,,4.10.2022,90,Attcall Group Pty Ltd,90,Attcall Group Pty Ltd,,,16826,INV0055,2022-09-20,3043.68,3043.68,Email/PDF,Sent,22/23
Connect Resources (NSW) Pty Ltd,,,,20.10.2022,98,Delivering for Customers (D4C),98,Delivering for Customers (D4C),,,16831,INV0060,2022-09-20,8291.18,8291.18,Email/PDF,Sent,22/23
Connect Resources (NSW) Pty Ltd,,,,29.10.2022,98,Delivering for Customers (D4C),98,Delivering for Customers (D4C),,,17060,INV0076,2022-09-29,2918.26,2918.26,Email/PDF,Sent,22/23
Connect Resources (NSW) Pty Ltd,,,,13.10.2022,93,Devcon Civil,93,Devcon Civil,,,17066,INV0082,2022-09-29,1019.07,1019.07,Email/PDF,Viewed,22/23
Connect Resources (NSW) Pty Ltd,,,,29.10.2022,98,Delivering for Customers (D4C),98,Delivering for Customers (D4C),,,17063,INV0079,2022-09-29,11811.56,11811.56,Email/PDF,Viewed,22/23
Connect Resources (NSW) Pty Ltd,,,,29.10.2022,98,Delivering for Customers (D4C),98,Delivering for Customers (D4C),,,17062,INV0078,2022-09-29,701.35,701.35,Email/PDF,Sent,22/23
Connect Resources (NSW) Pty Ltd,,,,29.10.2022,98,Delivering for Customers (D4C),98,Delivering for Customers (D4C),,,17061,INV0077,2022-09-29,3285.12,3285.12,Email/PDF,Viewed,22/23
Connect Resources (NSW) Pty Ltd,,,,29.10.2022,98,Delivering for Customers (D4C),98,Delivering for Customers (D4C),,,17059,INV0075,2022-09-29,2032.72,2032.72,Email/PDF,Sent,22/23
Connect Resources (NSW) Pty Ltd,,,,13.10.2022,90,Attcall Group Pty Ltd,90,Attcall Group Pty Ltd,,,17052,INV0068,2022-09-29,2351.46,2351.46,Email/PDF,Viewed,22/23
Connect Resources (NSW) Pty Ltd,,,,29.10.2022,98,Delivering for Customers (D4C),98,Delivering for Customers (D4C),,,17057,INV0073,2022-09-29,2699.27,2699.27,Email/PDF,Sent,22/23
Connect Resources (NSW) Pty Ltd,,,,13.10.2022,100,Blue Mountains Pipe & Civil Pty Ltd,100,Blue Mountains Pipe & Civil Pty Ltd,,,17056,INV0072,2022-09-29,2261.4,2261.4,Email/PDF,Sent,22/23
Connect Resources (NSW) Pty Ltd,,,,13.10.2022,90,Attcall Group Pty Ltd,90,Attcall Group Pty Ltd,,,17055,INV0071,2022-09-29,5459.4,5459.4,Email/PDF,Sent,22/23
Connect Resources (NSW) Pty Ltd,,,,13.10.2022,90,Attcall Group Pty Ltd,90,Attcall Group Pty Ltd,,,17054,INV0070,2022-09-29,1289.27,1289.27,Email/PDF,Sent,22/23
Connect Resources (NSW) Pty Ltd,,,,13.10.2022,90,Attcall Group Pty Ltd,90,Attcall Group Pty Ltd,,,17053,INV0069,2022-09-29,2034.19,2034.19,Email/PDF,Sent,22/23
Connect Resources (NSW) Pty Ltd,,,,29.10.2022,98,Delivering for Customers (D4C),98,Delivering for Customers (D4C),,,17058,INV0074,2022-09-29,5490.44,5490.44,Email/PDF,Sent,22/23
Connect Resources (NSW) Pty Ltd,,,,5.11.2022,98,Delivering for Customers (D4C),98,Delivering for Customers (D4C),,,17080,INV0096,2022-10-06,649.17,649.17,Email/PDF,Sent,22/23
Connect Resources (NSW) Pty Ltd,,,,5.11.2022,98,Delivering for Customers (D4C),98,Delivering for Customers (D4C),,,17079,INV0095,2022-10-06,649.17,649.17,Email/PDF,Sent,22/23
Connect Resources (NSW) Pty Ltd,,,,5.11.2022,98,Delivering for Customers (D4C),98,Delivering for Customers (D4C),,,17078,INV0094,2022-10-06,649.17,649.17,Email/PDF,Sent,22/23
Connect Resources (NSW) Pty Ltd,,,,5.11.2022,98,Delivering for Customers (D4C),98,Delivering for Customers (D4C),,,17077,INV0093,2022-10-06,2213.95,2213.95,Email/PDF,Sent,22/23
Connect Resources (NSW) Pty Ltd,,,,5.11.2022,98,Delivering for Customers (D4C),98,Delivering for Customers (D4C),,,17076,INV0092,2022-10-06,1896.25,1896.25,Email/PDF,Sent,22/23
Connect Resources (NSW) Pty Ltd,,,,5.11.2022,98,Delivering for Customers (D4C),98,Delivering for Customers (D4C),,,17075,INV0091,2022-10-06,2109.67,2109.67,Email/PDF,Sent,22/23
Connect Resources (NSW) Pty Ltd,,,,5.11.2022,98,Delivering for Customers (D4C),98,Delivering for Customers (D4C),,,17074,INV0090,2022-10-06,6559.05,6559.05,Email/PDF,Sent,22/23
Connect Resources (NSW) Pty Ltd,,,,5.11.2022,98,Delivering for Customers (D4C),98,Delivering for Customers (D4C),,,17072,INV0088,2022-10-06,3002.04,3002.04,Email/PDF,Sent,22/23
Connect Resources (NSW) Pty Ltd,,,,20.10.2022,100,Blue Mountains Pipe & Civil Pty Ltd,100,Blue Mountains Pipe & Civil Pty Ltd,,,17071,INV0087,2022-10-06,3769.0,3769.0,Email/PDF,Sent,22/23
Connect Resources (NSW) Pty Ltd,,,,20.10.2022,90,Attcall Group Pty Ltd,90,Attcall Group Pty Ltd,,,17070,INV0086,2022-10-06,6711.78,6711.78,Email/PDF,Sent,22/23
Connect Resources (NSW) Pty Ltd,,,,20.10.2022,90,Attcall Group Pty Ltd,90,Attcall Group Pty Ltd,,,17069,INV0085,2022-10-06,510.29,510.29,Email/PDF,Sent,22/23
Connect Resources (NSW) Pty Ltd,,,,20.10.2022,90,Attcall Group Pty Ltd,90,Attcall Group Pty Ltd,,,17068,INV0084,2022-10-06,456.57,456.57,Email/PDF,Sent,22/23
Connect Resources (NSW) Pty Ltd,,,,20.10.2022,90,Attcall Group Pty Ltd,90,Attcall Group Pty Ltd,,,17067,INV0083,2022-10-06,649.08,649.08,Email/PDF,Sent,22/23
Connect Resources (NSW) Pty Ltd,,,,5.11.2022,98,Delivering for Customers (D4C),98,Delivering for Customers (D4C),,,17073,INV0089,2022-10-06,14719.68,14719.68,Email/PDF,Sent,22/23
Connect Resources (NSW) Pty Ltd,,,,10.11.2022,98,Delivering for Customers (D4C),98,Delivering for Customers (D4C),,,17064,INV0080,2022-10-11,2430.46,2430.46,Email/PDF,Sent,22/23
Connect Resources (NSW) Pty Ltd,,,,11.11.2022,98,Delivering for Customers (D4C),98,Delivering for Customers (D4C),,,17087,INV0103,2022-10-12,1162.41,1162.41,Email/PDF,Viewed,22/23
Connect Resources (NSW) Pty Ltd,,,,11.11.2022,98,Delivering for Customers (D4C),98,Delivering for Customers (D4C),,,17091,INV0107,2022-10-12,1100.44,1100.44,Email/PDF,Sent,22/23
Connect Resources (NSW) Pty Ltd,,,,11.11.2022,98,Delivering for Customers (D4C),98,Delivering for Customers (D4C),,,17090,INV0106,2022-10-12,2490.88,2490.88,Email/PDF,Sent,22/23
Connect Resources (NSW) Pty Ltd,,,,11.11.2022,98,Delivering for Customers (D4C),98,Delivering for Customers (D4C),,,17089,INV0105,2022-10-12,1976.24,1976.24,Email/PDF,Sent,22/23
Connect Resources (NSW) Pty Ltd,,,,11.11.2022,98,Delivering for Customers (D4C),98,Delivering for Customers (D4C),,,17086,INV0102,2022-10-12,989.26,989.26,Email/PDF,Sent,22/23
Connect Resources (NSW) Pty Ltd,,,,11.11.2022,98,Delivering for Customers (D4C),98,Delivering for Customers (D4C),,,17088,INV0104,2022-10-12,678.91,678.91,Email/PDF,Viewed,22/23
Connect Resources (NSW) Pty Ltd,,,,11.11.2022,98,Delivering for Customers (D4C),98,Delivering for Customers (D4C),,,17084,INV0100,2022-10-12,4544.17,4544.17,Email/PDF,Viewed,22/23
Connect Resources (NSW) Pty Ltd,,,,11.11.2022,98,Delivering for Customers (D4C),98,Delivering for Customers (D4C),,,17083,INV0099,2022-10-12,4340.9,4340.9,Email/PDF,Viewed,22/23
Connect Resources (NSW) Pty Ltd,,,,26.10.2022,100,Blue Mountains Pipe & Civil Pty Ltd,100,Blue Mountains Pipe & Civil Pty Ltd,,,17082,INV0098,2022-10-12,3015.2,3015.2,Email/PDF,Sent,22/23
Connect Resources (NSW) Pty Ltd,,,,26.10.2022,90,Attcall Group Pty Ltd,90,Attcall Group Pty Ltd,,,17081,INV0097,2022-10-12,3871.01,3871.01,Email/PDF,Sent,22/23
Connect Resources (NSW) Pty Ltd,,,,11.11.2022,98,Delivering for Customers (D4C),98,Delivering for Customers (D4C),,,17085,INV0101,2022-10-12,1298.34,1298.34,Email/PDF,Viewed,22/23
Connect Resources (NSW) Pty Ltd,,,,19.11.2022,98,Delivering for Customers (D4C),98,Delivering for Customers (D4C),,,17290,INV0119,2022-10-20,1192.55,1192.55,Email/PDF,Sent,22/23
Connect Resources (NSW) Pty Ltd,,,,19.11.2022,98,Delivering for Customers (D4C),98,Delivering for Customers (D4C),,,17289,INV0118,2022-10-20,1357.82,1357.82,Email/PDF,Sent,22/23
Connect Resources (NSW) Pty Ltd,,,,19.11.2022,98,Delivering for Customers (D4C),98,Delivering for Customers (D4C),,,17287,INV0116,2022-10-20,2467.74,2467.74,Email/PDF,Sent,22/23
Connect Resources (NSW) Pty Ltd,,,,19.11.2022,98,Delivering for Customers (D4C),98,Delivering for Customers (D4C),,,17286,INV0115,2022-10-20,1192.55,1192.55,Email/PDF,Viewed,22/23
Connect Resources (NSW) Pty Ltd,,,,19.11.2022,98,Delivering for Customers (D4C),98,Delivering for Customers (D4C),,,17285,INV0114,2022-10-20,5154.96,5154.96,Email/PDF,Viewed,22/23
Connect Resources (NSW) Pty Ltd,,,,19.11.2022,98,Delivering for Customers (D4C),98,Delivering for Customers (D4C),,,17288,INV0117,2022-10-20,1316.5,1316.5,Email/PDF,Viewed,22/23
Connect Resources (NSW) Pty Ltd,,,,19.11.2022,98,Delivering for Customers (D4C),98,Delivering for Customers (D4C),,,17283,INV0112,2022-10-20,2980.69,2980.69,Email/PDF,Viewed,22/23
Connect Resources (NSW) Pty Ltd,,,,19.11.2022,98,Delivering for Customers (D4C),98,Delivering for Customers (D4C),,,17282,INV0111,2022-10-20,2802.73,2802.73,Email/PDF,Viewed,22/23
Connect Resources (NSW) Pty Ltd,,,,19.11.2022,98,Delivering for Customers (D4C),98,Delivering for Customers (D4C),,,17281,INV0110,2022-10-20,3282.32,3282.32,Email/PDF,Sent,22/23
Connect Resources (NSW) Pty Ltd,,,,3.11.2022,100,Blue Mountains Pipe & Civil Pty Ltd,100,Blue Mountains Pipe & Civil Pty Ltd,,,17280,INV0109,2022-10-20,2161.08,2161.08,Email/PDF,Sent,22/23
Connect Resources (NSW) Pty Ltd,,,,3.11.2022,90,Attcall Group Pty Ltd,90,Attcall Group Pty Ltd,,,17279,INV0108,2022-10-20,7230.32,7230.32,Email/PDF,Sent,22/23
Connect Resources (NSW) Pty Ltd,,,,19.11.2022,98,Delivering for Customers (D4C),98,Delivering for Customers (D4C),,,17284,INV0113,2022-10-20,10635.77,10635.77,Email/PDF,Viewed,22/23
Connect Resources (NSW) Pty Ltd,,,,25.11.2022,98,Delivering for Customers (D4C),98,Delivering for Customers (D4C),,,17300,INV0129,2022-10-26,1341.45,1341.45,Email/PDF,Viewed,22/23
Connect Resources (NSW) Pty Ltd,,,,25.11.2022,98,Delivering for Customers (D4C),98,Delivering for Customers (D4C),,,17299,INV0128,2022-10-26,6313.81,6313.81,Email/PDF,Sent,22/23
Connect Resources (NSW) Pty Ltd,,,,25.11.2022,98,Delivering for Customers (D4C),98,Delivering for Customers (D4C),,,17298,INV0127,2022-10-26,6223.7,6223.7,Email/PDF,Sent,22/23
Connect Resources (NSW) Pty Ltd,,,,25.11.2022,98,Delivering for Customers (D4C),98,Delivering for Customers (D4C),,,17297,INV0126,2022-10-26,1871.46,1871.46,Email/PDF,Sent,22/23
Connect Resources (NSW) Pty Ltd,,,,25.11.2022,98,Delivering for Customers (D4C),98,Delivering for Customers (D4C),,,17295,INV0124,2022-10-26,3973.64,3973.64,Email/PDF,Sent,22/23
Connect Resources (NSW) Pty Ltd,,,,25.11.2022,98,Delivering for Customers (D4C),98,Delivering for Customers (D4C),,,17294,INV0123,2022-10-26,3139.41,3139.41,Email/PDF,Sent,22/23
Connect Resources (NSW) Pty Ltd,,,,9.11.2022,100,Blue Mountains Pipe & Civil Pty Ltd,100,Blue Mountains Pipe & Civil Pty Ltd,,,17292,INV0121,2022-10-26,3216.72,3216.72,Email/PDF,Sent,22/23
Connect Resources (NSW) Pty Ltd,,,,9.11.2022,90,Attcall Group Pty Ltd,90,Attcall Group Pty Ltd,,,17291,INV0120,2022-10-26,6641.0,6641.0,Email/PDF,Sent,22/23
Connect Resources (NSW) Pty Ltd,,,,25.11.2022,98,Delivering for Customers (D4C),98,Delivering for Customers (D4C),,,17296,INV0125,2022-10-26,6023.63,6023.63,Email/PDF,Sent,22/23
Connect Resources (NSW) Pty Ltd,,,,3.12.2022,98,Delivering for Customers (D4C),98,Delivering for Customers (D4C),,,17521,INV0135,2022-11-03,4344.89,4344.89,Email/PDF,Sent,22/23
Connect Resources (NSW) Pty Ltd,,,,3.12.2022,98,Delivering for Customers (D4C),98,Delivering for Customers (D4C),,,17523,INV0137,2022-11-03,8012.39,8012.39,Email/PDF,Sent,22/23
Connect Resources (NSW) Pty Ltd,,,,3.12.2022,98,Delivering for Customers (D4C),98,Delivering for Customers (D4C),,,17522,INV0136,2022-11-03,3673.66,3673.66,Email/PDF,Sent,22/23
Connect Resources (NSW) Pty Ltd,,,,3.12.2022,98,Delivering for Customers (D4C),98,Delivering for Customers (D4C),,,17520,INV0134,2022-11-03,6632.73,6632.73,Email/PDF,Sent,22/23
Connect Resources (NSW) Pty Ltd,,,,17.11.2022,100,Blue Mountains Pipe & Civil Pty Ltd,100,Blue Mountains Pipe & Civil Pty Ltd,,,17517,INV0131,2022-11-03,3691.3,3691.3,Email/PDF,Sent,22/23
Connect Resources (NSW) Pty Ltd,,,,3.12.2022,98,Delivering for Customers (D4C),98,Delivering for Customers (D4C),,,17518,INV0132,2022-11-03,320.84,320.84,Email/PDF,Sent,22/23
Connect Resources (NSW) Pty Ltd,,,,3.12.2022,98,Delivering for Customers (D4C),98,Delivering for Customers (D4C),,,17519,INV0133,2022-11-03,12128.96,12128.96,Email/PDF,Sent,22/23
Connect Resources (NSW) Pty Ltd,,,,17.11.2022,90,Attcall Group Pty Ltd,90,Attcall Group Pty Ltd,,,17516,INV0130,2022-11-03,3777.18,3777.18,Email/PDF,Sent,22/23
Connect Resources (NSW) Pty Ltd,,,,24.11.2022,69,Georgiou,69,Georgiou,,,17666,INV0155,2022-11-10,3196.77,3196.77,Email/PDF,Sent,22/23
Connect Resources (NSW) Pty Ltd,,,,24.11.2022,69,Georgiou,69,Georgiou,,,17665,INV0154,2022-11-10,3967.73,3967.73,Email/PDF,Sent,22/23
Connect Resources (NSW) Pty Ltd,,,,24.11.2022,69,Georgiou,69,Georgiou,,,17664,INV0153,2022-11-10,1587.81,1587.81,Email/PDF,Sent,22/23
Connect Resources (NSW) Pty Ltd,,,,24.11.2022,69,Georgiou,69,Georgiou,,,17663,INV0152,2022-11-10,1541.9,1541.9,Email/PDF,Sent,22/23
Connect Resources (NSW) Pty Ltd,,,,10.12.2022,98,Delivering for Customers (D4C),98,Delivering for Customers (D4C),,,17661,INV0150,2022-11-10,3582.05,3582.05,Email/PDF,Sent,22/23
Connect Resources (NSW) Pty Ltd,,,,10.12.2022,98,Delivering for Customers (D4C),98,Delivering for Customers (D4C),,,17659,INV0148,2022-11-10,3568.39,3568.39,Email/PDF,Sent,22/23
